BatchIndex,Delta,Damkohler,Sigma,CUM_Steam,Woodloading
101,-8.93951112,0.046488549,1.164128864,29,105.603668
102,-3.801041872,0.070424056,0.942265264,26.9,93.90692
103,-0.136627963,0.453501868,0.913191617,23.5,93.2117538
104,-1.474275797,0.071969845,1.022128944,27.8,105.086006
105,-5.302415596,0.06104161,0.96714495,22.8,106.839233
106,-3.143827059,0.069425191,0.871737105,23.5,109.187187
107,-4.8950193,0.060380168,0.913586276,28.1,107.013855
108,-4.663052015,0.069548162,0.996885758,23.8,106.088615
109,-2.881710662,0.078962936,0.858013954,23.7,106.462013
110,-5.342513436,0.066079221,0.940931698,22.3,107.9679
111,-0.360689664,0.557660006,0.811990464,22,109.610725
112,-5.471066046,0.064621791,0.968100669,23.5,111.257927
113,-6.015212728,0.056991984,0.938215597,27.4,108.456177
114,-5.291755138,0.065658801,1.047670984,27.6,111.314262
115,-2.539148476,0.073280176,0.867874703,23.3,111.34063
116,-3.877047792,0.064666718,0.981586173,27,113.12677
117,-1.450992391,0.167358292,0.988714992,26.6,104.278023
118,-0.281386992,0.524918593,0.754246968,24.7,105.359383
119,-2.835729339,0.064974304,1.15161563,28,106.338982
120,-0.241189027,0.509537413,0.763892874,20.5,105.703079
121,-4.792995918,0.083279441,0.659004547,25.1,85.18782
122,-5.286639987,0.055623209,1.352867897,30.5,95.1793442
123,-2.597306032,0.083703554,0.893196494,25.5,109.489647
124,-3.287588886,0.065140641,0.765241118,23.1,102.845345
125,-4.821696346,0.067771697,0.825332191,27.9,85.1737442
126,-2.583401719,0.080197209,0.8878213,24.7,95.17621
127,-4.322023333,0.074591239,0.956004693,30.7,85.17604
128,-4.384997918,0.062726468,0.956780584,27.6,85.21317
129,-4.737436048,0.061439169,1.016374576,30.6,88.0751648
130,-4.354095396,0.065689172,0.895385656,25.9,90.2301559
131,-3.151853986,0.075294456,0.828961698,23.3,95.06449
132,-3.70418428,0.078622028,0.857439604,24,92.134346
133,-0.340770386,0.547580892,0.740477527,20.2,88.98516
134,-7.455383328,0.049765072,1.11115772,31.3,95.17699
135,-4.794295446,0.055385772,0.924536625,25.2,107.509659
136,-4.12541137,0.068100984,0.881393992,23.3,106.848206
137,-4.167353156,0.065934542,0.863416303,24.1,104.331917
138,-3.594414384,0.065013939,0.841046225,23.4,108.596596
139,-5.582929059,0.055906917,0.893284415,25.5,114.045235
140,-2.896850955,0.078003448,0.80360612,22.4,106.150642
141,-5.160714855,0.066293633,0.793870992,26.2,105.483063
142,-3.30533348,0.076338189,0.837339747,23.1,103.262367
143,-4.593795348,0.067094126,0.916674821,26.4,99.13905
144,-4.291968279,0.068091067,0.860390097,23.8,100.814278
145,-4.416203988,0.062738316,0.966405871,26,104.154037
146,-6.49689593,0.056926782,1.059823564,27.5,98.26977
147,-5.932140372,0.065261169,0.994450728,26.7,97.67023
148,-2.474753078,0.091622556,0.864822735,24.1,103.576149
149,-4.27751643,0.067945349,0.895094318,22.9,135.118652
150,-5.80104851,0.056941825,1.009350052,26.5,104.729431
151,-7.146479854,0.050216454,0.968558667,27.8,107.132942
152,-6.7854846,0.05439744,1.039000226,29.1,104.113945
153,-6.430665803,0.052223848,1.000545974,26.6,104.755409
154,-7.525222135,0.048889956,0.977765383,28.4,100.921494
155,-4.61003899,0.06623936,0.92425151,26.2,105.044235
156,-5.420789863,0.064999278,0.940321993,26.6,95.95213
157,-5.719333771,0.055284642,1.039962241,30.5,99.62583
158,-6.354738273,0.054140668,1.051044388,30.7,98.21027
159,-4.346024703,0.062331726,0.980895455,25,103.462318
160,-4.839710694,0.063653408,1.056461373,27.5,98.81577
161,-4.02008688,0.068902073,0.919078682,27.8,97.5729752
162,-3.088851351,0.081769987,0.829514722,22.7,100.694527
163,-6.684540733,0.061761385,1.010437124,24.5,98.90175
164,-6.158309534,0.063607836,0.989661107,23.4,97.68549
165,-2.329412279,0.11778644,0.873429746,23.3,95.51751
166,-4.394672994,0.062369701,0.813756318,22.4,97.2300949
167,-3.961183555,0.063853839,0.958614119,26.2,97.196
168,-6.530143428,0.055417485,0.973395407,26.9,96.6930847
169,-4.272532581,0.058264086,0.959602097,27,96.94422
170,-0.072564209,0.396312337,1.357365795,26.2,98.57496
171,-5.871418633,0.066131021,1.020112313,24.6,100.313591
172,-0.357783472,0.557568002,0.783479958,21.7,94.63321
173,-13.02662407,0.039361265,1.249712828,28.1,97.6757355
174,-4.938979974,0.061914443,0.734613437,22,104.794029
175,-1.203682041,0.069110916,1.161708408,24.6,101.632286
176,-7.554870445,0.056332318,1.058988728,26,103.842377
177,-2.317696801,0.065956248,1.048562155,27.3,101.373222
178,-4.722706032,0.064402191,0.88092554,25.2,104.532082
179,-0.353385087,0.098320492,1.234522569,25.1,103.041763
180,-2.068210538,0.081093356,0.877078587,26.6,106.364944
181,-2.770845478,0.089360613,0.87997886,23.5,95.24222
182,-3.467807259,0.072210481,0.860386666,21.7,95.19858
183,-2.573019276,0.098693743,0.830018474,21.5,102.930992
184,-6.13869344,0.052747603,0.996698453,25.1,109.922371
185,-6.926808198,0.054345122,1.078511449,29.6,95.2084
186,-4.795565931,0.063882411,0.928111069,23.3,95.21769
187,-7.552755821,0.046694719,1.041627068,30.1,95.19619
188,-2.740641593,0.074681159,0.856547708,22.9,95.24756
189,-4.405336472,0.063547535,0.953778763,24.4,106.435631
190,-3.341716919,0.073644862,0.885834727,24,101.659752
191,-4.262863985,0.063999396,0.880835368,25,103.643616
